Model,Dataset,Level,# Samples,# Samples Evaluated,Sem-F1 (USE),Sem-F1 (Distil),Sem-F1 (RoBERTa),Rouge-1,Rouge-2,Rouge-L,Rouge-L Sum,BERTscore,FaNS,# FaNS Samples
mistralai/Mistral-7B-Instruct-v0.2,all_sides,3,137,137,0.52,0.48,0.54,0.38,0.19,0.29,0.29,0.32,0.23,136
mistralai/Mistral-7B-Instruct-v0.2,all_sides,4,137,137,0.54,0.49,0.54,0.38,0.19,0.29,0.29,0.32,0.23,135
mosaicml/mpt-7b-chat,all_sides,0,137,137,0.41,0.41,0.44,0.25,0.11,0.17,0.18,0.14,0.18,135
mosaicml/mpt-7b-chat,all_sides,1,137,137,0.54,0.5,0.54,0.32,0.15,0.23,0.23,0.26,0.21,134
mosaicml/mpt-7b-chat,all_sides,2,137,137,0.5,0.45,0.5,0.32,0.14,0.23,0.23,0.25,0.2,137
mosaicml/mpt-7b-chat,all_sides,3,137,137,0.47,0.44,0.49,0.29,0.12,0.21,0.21,0.22,0.19,133
mosaicml/mpt-7b-chat,all_sides,4,137,137,0.5,0.46,0.5,0.31,0.14,0.23,0.23,0.23,0.21,137
mosaicml/mpt-7b-instruct,all_sides,0,137,136,0.59,0.57,0.6,0.28,0.2,0.23,0.24,0.25,0.23,136
mosaicml/mpt-7b-instruct,all_sides,1,137,137,0.6,0.56,0.59,0.36,0.18,0.26,0.26,0.3,0.22,136
mosaicml/mpt-7b-instruct,all_sides,2,137,137,0.52,0.46,0.5,0.28,0.12,0.2,0.2,0.18,0.19,137
mosaicml/mpt-7b-instruct,all_sides,3,137,137,0.49,0.44,0.48,0.27,0.11,0.18,0.19,0.14,0.2,137
mosaicml/mpt-7b-instruct,all_sides,4,137,137,0.53,0.5,0.53,0.28,0.15,0.2,0.22,0.17,0.19,136
lmsys/vicuna-13b-v1.5-16k,privacy_policy,0,137,137,0.17,0.26,0.27,0.06,0.02,0.05,0.05,-0.38,0.12,132
lmsys/vicuna-13b-v1.5-16k,privacy_policy,1,137,137,0.15,0.24,0.23,0.1,0.03,0.08,0.08,-0.32,0.13,136
lmsys/vicuna-13b-v1.5-16k,privacy_policy,2,137,137,0.25,0.37,0.41,0.19,0.05,0.14,0.15,0.1,0.17,137
lmsys/vicuna-13b-v1.5-16k,privacy_policy,3,137,137,0.23,0.34,0.36,0.14,0.04,0.1,0.1,-0.12,0.16,137
lmsys/vicuna-13b-v1.5-16k,privacy_policy,4,137,137,0.29,0.4,0.44,0.18,0.05,0.13,0.14,0.08,0.17,135
lmsys/vicuna-13b-v1.5,privacy_policy,0,137,137,0.2,0.29,0.3,0.07,0.02,0.05,0.06,-0.3,0.14,131
lmsys/vicuna-13b-v1.5,privacy_policy,1,137,137,0.19,0.29,0.29,0.11,0.04,0.09,0.09,-0.22,0.14,136
lmsys/vicuna-13b-v1.5,privacy_policy,2,137,137,0.25,0.37,0.41,0.2,0.06,0.14,0.16,0.14,0.17,137
lmsys/vicuna-13b-v1.5,privacy_policy,3,137,137,0.25,0.38,0.41,0.17,0.05,0.12,0.13,0.08,0.16,136
lmsys/vicuna-13b-v1.5,privacy_policy,4,137,137,0.27,0.39,0.42,0.18,0.05,0.13,0.14,0.1,0.17,137
lmsys/vicuna-7b-v1.5-16k,privacy_policy,0,137,137,0.22,0.32,0.33,0.06,0.02,0.04,0.05,-0.27,0.14,135
lmsys/vicuna-7b-v1.5-16k,privacy_policy,1,137,137,0.27,0.39,0.4,0.2,0.05,0.15,0.15,0.11,0.15,137
lmsys/vicuna-7b-v1.5-16k,privacy_policy,2,137,137,0.24,0.36,0.39,0.2,0.05,0.14,0.16,0.13,0.17,137
lmsys/vicuna-7b-v1.5-16k,privacy_policy,3,137,137,0.28,0.4,0.45,0.18,0.05,0.13,0.14,0.11,0.17,137
lmsys/vicuna-7b-v1.5-16k,privacy_policy,4,137,137,0.3,0.41,0.44,0.18,0.05,0.13,0.13,0.1,0.17,137
lmsys/vicuna-7b-v1.5,privacy_policy,0,137,137,0.21,0.31,0.31,0.06,0.02,0.04,0.05,-0.26,0.14,136
lmsys/vicuna-7b-v1.5,privacy_policy,1,137,137,0.25,0.37,0.39,0.17,0.05,0.12,0.13,0.06,0.13,135
lmsys/vicuna-7b-v1.5,privacy_policy,2,137,137,0.24,0.36,0.39,0.2,0.05,0.14,0.16,0.13,0.16,137
lmsys/vicuna-7b-v1.5,privacy_policy,3,137,137,0.24,0.37,0.4,0.17,0.04,0.13,0.14,0.09,0.16,137
lmsys/vicuna-7b-v1.5,privacy_policy,4,137,137,0.24,0.37,0.4,0.18,0.05,0.13,0.14,0.1,0.16,136
meta-llama/Llama-2-13b-chat-hf,privacy_policy,0,137,137,0.29,0.4,0.44,0.1,0.03,0.07,0.09,-0.07,0.17,136
meta-llama/Llama-2-13b-chat-hf,privacy_policy,1,137,137,0.29,0.38,0.41,0.23,0.07,0.17,0.18,0.16,0.15,137
meta-llama/Llama-2-13b-chat-hf,privacy_policy,2,137,137,0.3,0.41,0.46,0.18,0.05,0.13,0.14,0.11,0.17,135
meta-llama/Llama-2-13b-chat-hf,privacy_policy,3,137,137,0.29,0.41,0.45,0.18,0.04,0.13,0.13,0.1,0.16,137
meta-llama/Llama-2-13b-chat-hf,privacy_policy,4,137,137,0.28,0.39,0.43,0.16,0.04,0.11,0.12,0.07,0.15,137
meta-llama/Llama-2-7b-chat-hf,privacy_policy,0,137,137,0.29,0.39,0.43,0.09,0.03,0.06,0.07,-0.08,0.16,137
meta-llama/Llama-2-7b-chat-hf,privacy_policy,1,137,137,0.32,0.44,0.46,0.23,0.07,0.17,0.17,0.16,0.16,137
meta-llama/Llama-2-7b-chat-hf,privacy_policy,2,137,137,0.31,0.42,0.46,0.19,0.04,0.13,0.14,0.11,0.17,136
meta-llama/Llama-2-7b-chat-hf,privacy_policy,3,137,137,0.31,0.41,0.46,0.18,0.04,0.13,0.13,0.11,0.18,137
meta-llama/Llama-2-7b-chat-hf,privacy_policy,4,137,137,0.3,0.42,0.44,0.18,0.05,0.14,0.14,0.11,0.16,137
mistralai/Mistral-7B-Instruct-v0.1,privacy_policy,0,137,137,0.3,0.4,0.45,0.14,0.04,0.1,0.1,0.02,0.16,136
mistralai/Mistral-7B-Instruct-v0.1,privacy_policy,1,137,137,0.28,0.4,0.41,0.22,0.06,0.17,0.17,0.17,0.16,137
mistralai/Mistral-7B-Instruct-v0.1,privacy_policy,2,137,137,0.31,0.42,0.46,0.2,0.05,0.14,0.14,0.12,0.18,137
mistralai/Mistral-7B-Instruct-v0.1,privacy_policy,3,137,137,0.3,0.42,0.45,0.19,0.05,0.14,0.14,0.12,0.17,137
mistralai/Mistral-7B-Instruct-v0.1,privacy_policy,4,137,137,0.31,0.42,0.46,0.2,0.05,0.14,0.14,0.12,0.17,137
mistralai/Mistral-7B-Instruct-v0.2,privacy_policy,0,137,137,0.24,0.37,0.4,0.05,0.01,0.03,0.04,-0.17,0.14,136
mistralai/Mistral-7B-Instruct-v0.2,privacy_policy,1,137,137,0.33,0.45,0.48,0.24,0.09,0.19,0.19,0.21,0.17,137
mistralai/Mistral-7B-Instruct-v0.2,privacy_policy,2,137,137,0.31,0.41,0.47,0.21,0.05,0.15,0.15,0.15,0.18,136
mistralai/Mistral-7B-Instruct-v0.2,privacy_policy,3,137,137,0.31,0.42,0.47,0.21,0.05,0.14,0.15,0.14,0.18,137
mistralai/Mistral-7B-Instruct-v0.2,privacy_policy,4,137,137,0.31,0.43,0.47,0.21,0.06,0.15,0.15,0.15,0.18,137
mosaicml/mpt-7b-chat,privacy_policy,0,137,137,0.24,0.36,0.4,0.12,0.03,0.09,0.09,-0.05,0.15,134
mosaicml/mpt-7b-chat,privacy_policy,1,137,137,0.27,0.39,0.41,0.19,0.04,0.14,0.14,0.09,0.15,135
mosaicml/mpt-7b-chat,privacy_policy,2,137,137,0.26,0.39,0.43,0.18,0.03,0.12,0.13,0.08,0.15,135
mosaicml/mpt-7b-chat,privacy_policy,3,137,137,0.27,0.39,0.42,0.17,0.04,0.12,0.13,0.08,0.15,137
mosaicml/mpt-7b-chat,privacy_policy,4,137,137,0.27,0.39,0.43,0.17,0.04,0.12,0.13,0.06,0.16,135
mosaicml/mpt-7b-instruct,privacy_policy,0,137,137,0.32,0.43,0.47,0.13,0.04,0.09,0.1,-0.03,0.16,136
mosaicml/mpt-7b-instruct,privacy_policy,1,137,137,0.28,0.38,0.41,0.18,0.05,0.13,0.14,0.07,0.15,136
mosaicml/mpt-7b-instruct,privacy_policy,2,137,137,0.27,0.38,0.41,0.15,0.04,0.11,0.12,0.03,0.15,134
mosaicml/mpt-7b-instruct,privacy_policy,3,137,137,0.27,0.37,0.41,0.16,0.04,0.11,0.13,0.02,0.14,136
mosaicml/mpt-7b-instruct,privacy_policy,4,137,137,0.27,0.38,0.41,0.14,0.03,0.1,0.11,0,0.13,133
